Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
A. Anwhar Raajhaa,Elected,18-May-14,In office,Tamil Nadu,Ramanthapuram,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,65,4,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
A. Arunmozhithevan,Elected,18-May-14,In office,Tamil Nadu,Cuddalore,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,45,4,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
A.P. Jithender Reddy,Elected,18-May-14,In office,Telangana,Mahabubnagar,Telangana Rashtra Samithi,Male,Graduate,Information not available,60,3,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
A.T. Nana Patil,Elected,18-May-14,In office,Maharashtra,Jalgaon,Bharatiya Janata Party,Male,Graduate,M.Com (2nd Year Appearing),52,11,0,53,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Abhijit Mukherjee,Elected,18-May-14,In office,West Bengal,Jangipur,Indian National Congress,Male,Graduate,"B.E. (Mech.), F.I.E./Chartered Engineer
Educated at Jadavpur University, Kolkata and Institution of Engineers Kolkata",54,2,0,14,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Abhishek Banerjee,Elected,18-May-14,In office,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Post Graduate,Information not available,26,0,0,0,59, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Abhishek Singh,Elected,18-May-14,In office,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Graduate,Information not available,33,1,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Abu Hasem Khan Choudhury,Elected,18-May-14,In office,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,,76,0,0,0,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Adhikari Deepak (Dev),Elected,18-May-14,In office,West Bengal,Ghatal,All India Trinamool Congress,Male,Under Matric,Information not available,32,0,0,0,9, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Adhir Ranjan Chowdhury,Elected,18-May-14,In office,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",58,18,0,23,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Ajay Misra Teni,Elected,18-May-14,In office,Uttar Pradesh,Kheri,Bharatiya Janata Party,Male,Graduate,Information not available,53,16,0,11,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Ajay Nishad,Elected,18-May-14,In office,Bihar,Muzaffarpur,Bharatiya Janata Party,Male,Graduate,Information not available,45,1,0,6,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Ajay Tamta,Elected,18-May-14,In office,Uttarakhand,Almora,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,41,1,0,0,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.2,0.6,2,88%
Akshay Yadav,Elected,18-May-14,In office,Uttar Pradesh,Firozabad,Samajwadi Party,Male,Graduate,Information not available,27,3,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Alok Sanjar,Elected,18-May-14,In office,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Male,Graduate,Information not available,50,4,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
