MP name,Nature of membership,Start of term,End of term,State,Constituency,Party,Gender,Education,EducationalDetails,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
A. Elavarasan,Elected,25-Jul-07,24/07/2013,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,,57,38,0,574,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.6,1,258,77%,46.3,0.7,307,71%
A. Vijayaraghavan,Elected,3-Apr-04,02/04/2010,Kerala,,Communist Party of India (Marxist),Male,Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode ",57,12,0,82,0.74, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,9.4,0,93,70%
A. W. Rabi Bernard,Elected,19-Jul-11,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Edit the detail,64,11,0,35,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),22.7,0.5,160,77%,28.7,0.6,202,71%
A.A. Jinnah,Elected,3-Apr-08,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Law College, Chennai (Tamil Nadu) ",73,16,0,205,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
A.K. Antony,Elected,3-Apr-10,In office,Kerala,,Indian National Congress,Male,Graduate,"B.A., B.L. Educated at University of Kerala ",73,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
A.V. Swamy,Elected,4-Apr-12,In office,Orissa,,Independent,Male,Professional Graduate,"B.Sc. (Hons.), B.Sc. (Tech.), LL.B., Certificate in Aid Administration Educated at Ravenshaw College, Cuttack, U.D.C.T., Bombay University, Mumbai, Utkal University, Bhubaneswar and Selly Oak College, Birmingham, U.K.",84,12,0,30,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,19.6,0.5,82,81%
Aayanur Manjunath,Elected,1-Jul-10,In office,Karnataka,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B.; Educated at Sahyadri College and National College of Law, Shimoga",58,3,0,204,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,21.1,0.9,127,64%
Abani Roy,Elected,19-Aug-05,18/08/2011,West Bengal,,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Intermediate (in Science) Educated at Raisina Bengali Higher Secondary School, New Delhi and City-College, Ram Mohan Roy Sarani, Kolkata ",74,9,0,0,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),18.4,0.6,140,77%,29.1,0.4,101,75%
Abdul Wahab Peevee,Elected,3-Apr-04,02/04/2010,Kerala,,Muslim League Kerala State Committee,Male,Graduate,"Educated at Government Manavedan High School, Nilambur and MES College, Mampad, Kerala",63,3,0,33,0.29, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,9.4,0,93,70%
Abhishek Manu Singhvi,Elected,4-Apr-12,In office,Rajasthan,,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A. ",55,5,1,25,0.47, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,39.7,0.4,385,79%
Ahmad Saeed Malihabadi,Elected,3-Apr-08,In office,West Bengal,,Independent,Male,Graduate,"After school completed education at Madrasah Islah and Darul Musanafeen (Shibli Academy), Azamagarh",83,25,0,35,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Ahmed Patel,Elected,19-Aug-11,In office,Gujarat,,Indian National Congress,Male,Graduate,"B.Sc. Educated at Shree Jayendra Puri Arts and Science College, Bharuch (South Gujarat University) and M.S. University, Baroda ",64,0,0,0,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31,0.7,273,75%
Ajay Sancheti,Elected,3-Apr-12,In office,Maharashtra,,Bharatiya Janata Party,Male,Graduate,B.Com. Educated at Nagpur University,48,6,0,70,0.61, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,18.7,0.5,176,76%
